Number[1] (ISO 3166-2:NO),Name,Adm. center,County,"Population (2017)[2](2021 for Oslo, Viken, Rogaland and Vestland) [1]",Area (km2)[3],County Map,Arms,Language form[4],Mayor[5],Party
301,Oslo,Oslo,Oslo,702543,454.03,,,Neutral,Marianne Borgen,SV
1101,Eigersund,Egersund,Rogaland,14860,431.66,,,Bokmål,Leif Erik Egaas,H
1103,Stavanger,Stavanger,Rogaland,144515,262.52,,,Bokmål,Kari Nessa Nordtun,Ap
1106,Haugesund,Haugesund,Rogaland,37444,72.72,,,Bokmål,Petter Steen jr,H
1108,Sandnes,Sandnes,Rogaland,81305,304.46,,,Neutral,Stanley Wirak,Ap
1111,Sokndal,Hauge,Rogaland,3281,294.79,,,Neutral,Trond Arne Pedersen,KrF
1112,Lund,Moi,Rogaland,3178,408.51,,,Neutral,Pål Anker Ravndal,KrF
1114,Bjerkreim,Vikeså,Rogaland,2789,650.58,,,Nynorsk,Marthon Skårland,H
1119,Hå,Varhaug,Rogaland,19296,258.22,,,Neutral,Mons Skrettingland,H
1120,Klepp,Kleppe,Rogaland,20163,113.49,,,Nynorsk,Sigmund Rolfsen,Sp
1121,Time,Bryne,Rogaland,19353,183.19,,,Nynorsk,Reinert Kverneland,H
1122,Gjesdal,Ålgård,Rogaland,12131,617.98,,,Neutral,Frode Fjeldsbø,Ap
1124,Sola,Solakrossen,Rogaland,27568,69.04,,,Neutral,Tom Henning Slethei,Frp
1127,Randaberg,Randaberg,Rogaland,11454,24.71,,,Neutral,Jarle Bø,Sp
1130,Strand,Jørpeland,Rogaland,13268,261.69,,,Neutral,Irene Heng Lauvsnes,H
1133,Hjelmeland,Hjelmelandsvågen,Rogaland,2534,1067.78,,,Nynorsk,Bjørn Laugaland,Sp
1134,Suldal,Sand,Rogaland,3784,1736.89,,,Nynorsk,Gerd Helen Bø,Sp
1135,Sauda,Sauda,Rogaland,4525,546.32,,,Nynorsk,Asbjørn Birkeland,Sp
1144,Kvitsøy,Ydstebøhavn,Rogaland,523,6.29,,,Neutral,Stian Bjørsvik,KrF
1145,Bokn,Føresvik,Rogaland,855,47.16,,,Nynorsk,Osmund Våga,Sp
1146,Tysvær,Aksdal,Rogaland,11283,425.41,,,Nynorsk,Sigmund Lier,Ap
1149,Karmøy,Kopervik,Rogaland,42541,229.95,,,Neutral,Jarle Nilsen,Ap
1151,Utsira,Utsira,Rogaland,188,6.33,,,Neutral,Marte Eide Klovning,Ap
1160,Vindafjord,Ølensjøen,Rogaland,8775,620.59,,,Nynorsk,Ole Johan Vierdal,Sp
1505,Kristiansund,Kristiansund,Møre og Romsdal,24442,87.44,,,Neutral,Kjell Neergaard,Ap
1506,Molde,Molde,Møre og Romsdal,26822,362.69,,,Neutral,Torgeir Dahl,H
1507,Ålesund,Ålesund,Møre og Romsdal,66258,632.42,,,Neutral,Eva Vinje Aurdal,Ap
1511,Vanylven,Fiskåbygd,Møre og Romsdal,3203,385.21,,,Nynorsk,Lena M. Landsverk Sande,V
1514,Sande,Larsnes,Møre og Romsdal,2540,93.21,,,Nynorsk,Olav Myklebust,Sp
1515,Herøy,Fosnavåg,Møre og Romsdal,8957,119.53,,,Nynorsk,Bjørn-Halvor Prytz,Ap
1516,Ulstein,Ulsteinvik,Møre og Romsdal,8457,97.19,,,Nynorsk,Knut Erik Engh,Frp
1517,Hareid,Hareid,Møre og Romsdal,5185,82.26,,,Nynorsk,Bernt Brandal,LL
1520,Ørsta,Ørsta,Møre og Romsdal,10744,804.43,,,Nynorsk,Stein Aam,Sp
